Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026936,-0.025374,0.014307,0,0,0,0.50256,0.001031,-2.5013E-08,-4.528E-07,0.0010578,-1E-05,0.0013307,0,0,0,0,0,0,package://Cobot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/base_link.STL,,Cobot.STEP-1/Flange_默认.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,8.2084E-06,0.0056862,0.04653,0,0,0,1.1062,0.0023108,7.4008E-07,-3.0649E-07,0.0022029,-8.3386E-05,0.0020865,0,0,0,0,0,0,package://Cobot/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/link_1.STL,,Cobot.STEP-1/eRob110H××T-XX-18EX_V4_MC2B.BX.XX.STEP-1,Origin_joint_1,,joint_1,revolute,0.026885,-0.072252,-0.024385,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
link_2,8.1423E-06,0.0056863,0.04653,0,0,0,1.1062,0.0023108,7.4261E-07,-3.0953E-07,0.0022029,-8.338E-05,0.0020865,0,0,0,0,0,0,package://Cobot/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/link_2.STL,,Cobot.STEP-1/eRob110H××T-XX-18EX_V4_MC2B.BX.XX.STEP-2,Origin_joint_2,,joint_2,revolute,0,0.076,0.058,1.5708,0,-3.1416,link_1,0,0,0,0,0,0,0,,,,,,,,
link_3,9.6453E-06,-0.046523,5.4853E-11,0,0,0,0.80391,0.02124,8.3935E-07,9.4835E-13,0.0011939,7.3065E-12,0.02124,0,0,0,0,0,0,package://Cobot/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/link_3.STL,,Cobot.STEP-1/Link_23.STEP-1,Origin_joint_3,,joint_3,revolute,0,0.365,0.058,0,-0.3927,0,link_2,0,0,0,0,0,0,0,,,,,,,,
link_4,-3.2056E-05,0.0037095,-0.042471,0,0,0,0.7084,0.00099679,-8.0271E-08,-1.0147E-06,0.00096064,1.6132E-05,0.00094514,0,0,0,0,0,0,package://Cobot/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/link_4.STL,,Cobot.STEP-1/eRob90H××T-XX-18EX_V3_MC2A.CX.XX.STEP-1,Origin_fix_joint,,fix_joint,fixed,-0.018369,0.276,-0.044346,-3.1416,0.3927,0,link_3,0,0,0,,,,,,,,,,,,
link_5,-3.2056E-05,0.0037095,-0.042471,0,0,0,0.7084,0.00099679,-8.0271E-08,-1.0147E-06,0.00096064,1.6132E-05,0.00094514,0,0,0,0,0,0,package://Cobot/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/link_5.STL,,Cobot.STEP-1/eRob90H××T-XX-18EX_V3_MC2A.CX.XX.STEP-2,Origin_joint_4,,joint_4,revolute,0,-0.048,0.062,-1.5708,0,3.1416,link_4,0,0,0,0,0,0,0,,,,,,,,
link_6,0.010014,-0.18375,5.0563E-10,0,0,0,0.57116,0.0082458,-1.0236E-06,8.6524E-12,0.00047299,-3.5548E-11,0.008246,0,0,0,0,0,0,package://Cobot/meshes/link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cobot/meshes/link_6.STL,,Cobot.STEP-1/Link_45.STEP-1,Origin_joint_5,,joint_5,revolute,0,0.01,0,-1.5708,0,-1.5708,link_5,0,0,0,0,0,0,0,,,,,,,,
link_7,-7.79153405885517E-05,-0.00368819444239032,-0.00290799913670477,0,0,0,0.323306323693222,0.000284214298189796,6.30638844213108E-08,7.91631564948107E-07,0.000268339988354438,2.90444969974964E-06,0.000268136508419621,0,0,0,0,0,0,package://Cobot/meshes/link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cobot/meshes/link_7.STL,,Cobot.STEP-1/eRob70H××T-XX-18EX_V4_MC2B.CX.XX.STEP-1,Origin_fix_joint_2,,fix_joint_2,revolute,0.01,-0.43,0,0,-1.5708,0,link_6,0,0,0,0,0,0,0,,,,,,,,
link_8,-7.791522736178E-05,-0.00368819421517035,-0.00290799885931525,0,0,0,0.323306324607377,0.000284214294696337,6.30622047056061E-08,7.91629170963867E-07,0.000268339989519911,2.90444946780432E-06,0.000268136508211968,0,0,0,0,0,0,package://Cobot/meshes/link_8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cobot/meshes/link_8.STL,,Cobot.STEP-1/eRob70H××T-XX-18EX_V4_MC2B.CX.XX.STEP-3,Origin_joint_6,,joint_6,revolute,0,0,-0.086,-1.5708,0,3.1416,link_7,0,0,0,0,0,0,0,,,,,,,,
link_9,-7.79156612488834E-05,-0.00368819425960698,-0.00290799920267233,0,0,0,0.323306321695801,0.000284214294569284,6.30604388122877E-08,7.91630147356355E-07,0.000268339986427775,2.90444900053024E-06,0.000268136506586483,0,0,0,0,0,0,package://Cobot/meshes/link_9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cobot/meshes/link_9.STL,,Cobot.STEP-1/eRob70H××T-XX-18EX_V4_MC2B.CX.XX.STEP-2,Origin_joint_7,,joint_7,revolute,0,0,-0.086,-1.5708,0,3.1416,link_8,0,0,0,0,0,0,0,,,,,,,,
