Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.51059355460684E-17,0.000917004514666603,-0.0345737215417404,0,0,0,9.51282461066678,0.101777369494004,-1.41870436379443E-17,-8.89880693213872E-19,0.066764511471082,0.000283974031449322,0.1623129017019,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,,Part1ne-1;debanh-1,Coordinate System0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_sr_1,0.0628776555368032,0.0493942151111784,3.98640664661665E-06,0,0,0,0.0643607669234624,0.000100219372552478,-0.000120600639716103,1.15763498645089E-08,0.000159006979934966,8.93259292239888E-09,0.000258151622538778,0,0,0,0,0,0,package://my_robot/meshes/link_sr_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_1.STL,,part2s-2,Coordinate SystemSR1,Axis_SR1,joint_1,revolute,0.130000000000001,-0.109999999999999,0.0075,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,0,0,0.3,1.5,,,,,,,,
link_sr_2,0.0636783953826778,0.071958664256431,0.00299012819222474,0,0,0,0.0824501328250599,0.000196620892250655,-0.000166003278907984,7.00470879783159E-06,0.00015593244290702,7.91558168732911E-06,0.000348534868286062,0,0,0,0,0,0,package://my_robot/meshes/link_sr_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_2.STL,,part3s-3,Coordinate System12,Axis_SR21,joint_sr_2,revolute,0.125820764536835,0.0988389357054,0.00499999999999887,0,0,1.5707963267949,link_sr_1,0,0,1,0,0,0.3,1.5,,,,,,,,
top-Link,0.0146239201277833,-0.104,-0.145,0,0,0,0.838112370202977,0.00964178140261255,7.02061973530307E-18,-3.47133748155534E-18,0.00485224285006628,-2.02412419380707E-17,0.00485224285006628,0,0,0,0,0,0,package://my_robot/meshes/top-Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/top-Link.STL,,Part4s-1,Coordinate System16,Axis0,joint_top_link,revolute,0.10603,0.11982,0.01,0,0,0,link_sr_2,1,0,0,0,0,0,0.3,,,,,,,,
link_2,2.07935968613546E-19,4.85060384674448E-19,0.0301090649005537,0,0,0,0.28679331350207,0.000370196025887388,-1.93865174656436E-06,2.14563174760741E-20,0.000298086610732488,2.44419036630689E-20,0.000270987787715891,0,0,0,0,0,0,package://my_robot/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_2.STL,,Part5ne-1,Coordinate System2,Axis2,joint_2,revolute,0.021,-0.104,-0.145,0,-1.5708,0,top-Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_3,0.082472235392972,0.0218875003545157,9.91760083232281E-18,0,0,0,0.497898478741614,0.000613821863916615,-0.000812340329779735,-1.00627514133832E-18,0.00345913629291162,-5.82758667710062E-19,0.00345495603922672,0,0,0,0,0,0,package://my_robot/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_3.STL,,Part6ne-2,Coordinate System3,Axis3,joint_3,revolute,0,0,0.05,1.5708,0,1.5439,link_2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
link_4,0.0630369908353373,-0.00294413536309529,1.33651752685041E-08,0,0,0,0.427287350838624,0.000162879793935558,7.41765109472351E-05,7.67272350368258E-10,0.00174763177644088,4.36233019284638E-10,0.00172281335678644,0,0,0,0,0,0,package://my_robot/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_4.STL,,Part7ne-1,Coordinate System4,Axis4,joint_4,revolute,0.19337,0.05132,0,0,0,0,link_3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
link_5,0.0161460677140806,0.000406791855931121,-1.15503163023539E-07,0,0,0,0.0474207074268081,9.86709038280111E-06,-2.87407302737932E-07,-1.17766643201789E-10,2.12743749122461E-05,-2.15803007583117E-10,2.31862223022262E-05,0,0,0,0,0,0,package://my_robot/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_5.STL,,Part8ne-1,Coordinate System5,Axis5,joint_5,revolute,0.14984,-0.0069981,0,0,0,0,link_4,0,0,-1,0,0,-1.57,1.57,,,,,,,,
link_sr_12,0.0628776555368256,0.0493942151111945,3.98640664658889E-06,0,0,0,0.0643607669234623,0.000100219372552382,-0.00012060063971608,1.15763498639632E-08,0.000159006979935062,8.93259292197373E-09,0.000258151622538778,0,0,0,0,0,0,package://my_robot/meshes/link_sr_12.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_12.STL,,part2s-4,Coordinate System_SR12,Axis_SR2,joint_sr_2,revolute,0.109999999999999,0.130000000000001,0.0075,1.5707963267949,0,-3.14159265358979,base_link,0,0,-1,0,0,0.3,1.5,,,,,,,,
link_sr_22,-0.0719586642564664,0.0636783953826871,0.00299012819222416,0,0,0,0.0824501328250598,0.000155932442907029,0.000166003278907985,-7.91558168732893E-06,0.000196620892250646,7.00470879783181E-06,0.000348534868286062,0,0,0,0,0,0,package://my_robot/meshes/link_sr_22.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_22.STL,,part3s-1,Coordinate System13,Axis_SR22,joint_sr_22,revolute,0.12582,0.098839,0.005,0,0,0,link_sr_12,0,0,1,0,0,0.3,1.5,,,,,,,,
link_sr_13,0.0628776555368233,0.0493942151111904,3.9864066453954E-06,0,0,0,0.0643607669234624,0.000100219372552391,-0.000120600639716082,1.15763498656093E-08,0.000159006979935053,8.93259292322979E-09,0.000258151622538778,0,0,0,0,0,0,package://my_robot/meshes/link_sr_13.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_13.STL,,part2s-3,Coordinate System_SR13,Axis_SR3,joint_sr_13,revolute,-0.130000000000001,0.109999999999998,0.0075,1.5707963267949,0,-1.57079632679489,base_link,0,0,-1,0,0,0.3,1.5,,,,,,,,
link_sr_23,0.0636783953826593,0.0719586642565353,0.00299012819222499,0,0,0,0.0824501328250598,0.000196620892250789,-0.000166003278907967,7.00470879782841E-06,0.000155932442906886,7.91558168733195E-06,0.000348534868286061,0,0,0,0,0,0,package://my_robot/meshes/link_sr_23.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_23.STL,,part3s-2,Coordinate System14,Axis_SR23,joint_sr_23,revolute,0.12582,0.098839,0.005,0,0,1.5708,link_sr_13,0,0,1,0,0,0.3,1.5,,,,,,,,
link_sr_14,0.0628776555367978,0.0493942151111707,3.98640664597827E-06,0,0,0,0.0643607669234623,0.000100219372552506,-0.00012060063971611,1.15763498650512E-08,0.000159006979934938,8.93259292281465E-09,0.000258151622538778,0,0,0,0,0,0,package://my_robot/meshes/link_sr_14.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_14.STL,,part2s-1,Coordinate System_SR14,Axis_SR4,joint_sr_14,revolute,-0.109999999999999,-0.130000000000001,0.0075,1.5707963267949,0,0,base_link,0,0,-1,0,0,0.3,1.5,,,,,,,,
link_sr_24,-0.0719586642564014,0.0636783953826781,0.00299012819222522,0,0,0,0.0824501328250598,0.000155932442907052,0.000166003278907987,-7.91558168732842E-06,0.000196620892250623,7.00470879783233E-06,0.000348534868286061,0,0,0,0,0,0,package://my_robot/meshes/link_sr_24.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://my_robot/meshes/link_sr_24.STL,,part3s-4,Coordinate System15,Axis_SR24,joint_sr_24,revolute,0.12582,0.098839,0.005,0,0,0,link_sr_14,0,0,1,0,0,0.3,1.5,,,,,,,,
